año,height_mean,height_median,height_max,height_min,weight_mean,weight_median,weight_max,weight_min,vertical_mean,vertical_median,vertical_max,vertical_min,agility_mean,agility_median,agility_max,agility_min
2009,78.22727272727273,78.5,86.5,72.5,213.1590909090909,211.0,277.0,164.0,34.55166666666667,35.0,40.0,28.0,11.18501126126126,11.145,12.23,10.44
2010,80.0060975609756,80.5,84.75,73.5,226.0487804878049,218.0,303.0,180.0,33.56211382113821,34.5,40.0,26.0,11.558316853438804,11.39,13.44,10.84
2011,78.59883720930233,79.25,83.75,70.25,213.95348837209303,217.0,262.0,174.0,35.04651162790697,35.0,42.0,25.0,11.187226587052168,11.13,12.74,10.07
2012,79.595,79.5,85.25,74.0,220.78,220.0,279.0,174.0,35.583666666666666,35.5,41.5,30.0,11.336634684684684,11.33024774774775,12.77,10.48
2013,78.81818181818181,78.25,86.0,70.5,207.9318181818182,202.0,263.0,165.0,36.11575757575758,36.0,44.0,29.0,11.274135954135955,11.29,12.94,10.36
2014,78.41279069767442,78.25,85.25,72.75,210.37209302325581,209.0,263.0,160.0,36.06240310077519,35.5,43.5,29.5,11.369569453174105,11.33024774774775,12.71,10.42
2015,78.94375,78.625,84.75,73.5,215.05,215.0,265.0,177.0,35.565999999999995,35.13666666666666,44.0,25.0,11.194568130630632,11.33024774774775,12.37,10.22
2016,79.43452380952381,79.875,86.25,69.5,209.80711286452566,213.0,254.0,78.89874031007751,35.957857142857144,35.5,44.0,29.0,11.262672136422136,11.33024774774775,12.8,10.26
2017,78.87837837837837,78.75,84.0,71.5,213.1891891891892,220.0,252.0,170.0,35.45828828828829,35.13666666666666,42.0,27.5,11.344100925249574,11.33024774774775,12.68,10.42
